Planet 1
Position History (x, y, z)
0.9456980098328822, -0.8962240893558026, 0.0
1.0584177501389729, -0.8447149140699063, 0.0
1.1585214438456037, -0.7831369554143655, 0.0
1.2460845844444304, -0.7130818239326662, 0.0
1.3211838061661203, -0.6358941031053743, 0.0
1.3838770556230475, -0.5527352978685577, 0.0
1.4341916350666257, -0.46463230836833247, 0.0
1.4721165372678537, -0.3725154482914434, 0.0
1.4975970257509745, -0.277249549706479, 0.0
1.5105302551727338, -0.17966077167614264, 0.0
1.5107612023076595, -0.08056118812627124, 0.0
1.4980784616694924, 0.019227027017073572, 0.0
1.4722096515686451, 0.11884601689356973, 0.0
1.4328163470518918, 0.21737323582812929, 0.0
1.3794886766079848, 0.3137864774930432, 0.0
1.3117400932234096, 0.4069194675469628, 0.0
1.2290035467395684, 0.49540300307497903, 0.0
1.130631727954251, 0.577584081384533, 0.0
1.0159070488012496, 0.6514113053234634, 0.0
0.8840734003729255, 0.714268080007115, 0.0
0.73441571817792, 0.7627243317288579, 0.0
0.5664450236278837, 0.7921617064673957, 0.0
0.3803201214922832, 0.7962108216695826, 0.0
0.17780913480878022, 0.7659552301754408, 0.0
-0.03552726625072783, 0.6890665415985336, 0.0
-0.2456621905924588, 0.5500849678542732, 0.0
-0.4225406974055727, 0.336636274802642, 0.0
-0.5200978463906474, 0.059993033589653744, 0.0
-0.5103770377740177, -0.22902427159446032, 0.0
-0.41435933024521276, -0.47931681479249294, 0.0
-0.2701204945143687, -0.6738286315512018, 0.0
-0.10498302865474524, -0.8162077411909172, 0.0
0.06573037524364522, -0.9152358842648736, 0.0
0.23392551374504655, -0.9791991583109743, 0.0
0.3953349192936644, -1.0147576222975572, 0.0
0.5476846081802369, -1.0270612600420705, 0.0
0.689754116628104, -1.0200866411944065, 0.0
0.8208893460366273, -0.9969411270416801, 0.0
0.9407427924531471, -0.9600942497272679, 0.0
1.0491304527200451, -0.9115456991401941, 0.0
1.1459504059953638, -0.8529464224478037, 0.0
1.231134963104957, -0.7856867372156606, 0.0
1.3046215388572708, -0.710961600848061, 0.0
1.3663341394159987, -0.6298201413109757, 0.0
1.4161708858774908, -0.5432044121893889, 0.0
1.4539948977641948, -0.4519809057977476, 0.0
1.4796269120623105, -0.35696744104906947, 0.0
